N dis_x_std b condition H p damaged_fraction undamaged_N outputs_fraction_hlt flux_fraction_hlt n active_fraction_hlt q dis_x_avg inputs active_fraction_dis inputs_fraction undamaged_fraction flux_fraction_dis dis_y_avg order dis_y_std outputs_fraction_dis L damaged_nodes
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.05 0.2675 10.0 0.38 1.0 0.911111111111111 1.0 0.3775 0.9 0.975 0.2675 0.265 1.0 0.0634428877022476 0.05 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.05 0.2225 10.0 0.3325 1.0 0.911111111111111 1.0 0.3325 0.9 0.975 0.2225 0.265 1.0 0.0634428877022476 0.05 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.05 0.2225 10.0 0.3325 1.0 0.911111111111111 1.0 0.3325 0.9 0.975 0.2225 0.265 1.0 0.0634428877022476 0.05 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.911111111111111 1.0 0.92 1.0 0.975 0.9125 0.265 1.0 0.0634428877022476 0.6 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.35 0.515 10.0 0.5625 1.0 0.911111111111111 1.0 0.5625 0.95 0.975 0.515 0.265 1.0 0.0634428877022476 0.35 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.35 0.515 10.0 0.5625 1.0 0.911111111111111 1.0 0.5625 0.95 0.975 0.515 0.265 1.0 0.0634428877022476 0.35 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.05 0.2675 10.0 0.38 1.0 0.911111111111111 1.0 0.3775 0.9 0.975 0.2675 0.265 1.0 0.0634428877022476 0.05 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.05 0.2675 10.0 0.38 1.0 0.911111111111111 1.0 0.3775 0.9 0.975 0.2675 0.265 1.0 0.0634428877022476 0.05 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.05 0.2675 10.0 0.38 1.0 0.911111111111111 1.0 0.3775 0.9 0.975 0.2675 0.265 1.0 0.0634428877022476 0.05 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.05 0.2675 10.0 0.38 1.0 0.911111111111111 1.0 0.3775 0.9 0.975 0.2675 0.265 1.0 0.0634428877022476 0.05 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.911111111111111 1.0 0.92 1.0 0.975 0.9125 0.265 1.0 0.0634428877022476 0.6 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.911111111111111 1.0 0.92 1.0 0.975 0.9125 0.265 1.0 0.0634428877022476 0.6 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.911111111111111 1.0 0.92 1.0 0.975 0.9125 0.265 1.0 0.0634428877022476 0.6 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.911111111111111 1.0 0.92 1.0 0.975 0.9125 0.265 1.0 0.0634428877022476 0.6 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.35 0.495 10.0 0.6125 1.0 0.911111111111111 1.0 0.6125 0.95 0.975 0.495 0.265 1.0 0.0634428877022476 0.35 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.35 0.495 10.0 0.545 1.0 0.911111111111111 1.0 0.545 0.9 0.975 0.495 0.265 1.0 0.0634428877022476 0.35 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.35 0.495 10.0 0.545 1.0 0.911111111111111 1.0 0.545 0.9 0.975 0.495 0.265 1.0 0.0634428877022476 0.35 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.35 0.495 10.0 0.535 1.0 0.911111111111111 1.0 0.535 0.9 0.975 0.495 0.265 1.0 0.0634428877022476 0.35 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.1725 1.0 0.911111111111111 1.0 0.1725 0.8 0.975 0.0 0.265 1.0 0.0634428877022476 0.0 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.25 1.0 0.911111111111111 1.0 0.25 0.85 0.975 0.0 0.265 1.0 0.0634428877022476 0.0 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.1725 1.0 0.911111111111111 1.0 0.1725 0.8 0.975 0.0 0.265 1.0 0.0634428877022476 0.0 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.2075 1.0 0.911111111111111 1.0 0.2075 0.85 0.975 0.0 0.265 1.0 0.0634428877022476 0.0 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.05 0.2225 10.0 0.345 1.0 0.911111111111111 1.0 0.345 0.9 0.975 0.2225 0.265 1.0 0.0634428877022476 0.05 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.05 0.2225 10.0 0.345 1.0 0.911111111111111 1.0 0.345 0.9 0.975 0.2225 0.265 1.0 0.0634428877022476 0.05 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.05 0.2225 10.0 0.345 1.0 0.911111111111111 1.0 0.345 0.9 0.975 0.2225 0.265 1.0 0.0634428877022476 0.05 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.05 0.2225 10.0 0.345 1.0 0.911111111111111 1.0 0.345 0.9 0.975 0.2225 0.265 1.0 0.0634428877022476 0.05 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.1 0.4525 10.0 0.47 1.0 0.911111111111111 1.0 0.47 0.95 0.975 0.4525 0.265 1.0 0.0634428877022476 0.1 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.1 0.4525 10.0 0.47 1.0 0.911111111111111 1.0 0.47 0.95 0.975 0.4525 0.265 1.0 0.0634428877022476 0.1 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.1 0.4525 10.0 0.47 1.0 0.911111111111111 1.0 0.47 0.95 0.975 0.4525 0.265 1.0 0.0634428877022476 0.1 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.1 0.4525 10.0 0.47 1.0 0.911111111111111 1.0 0.47 0.95 0.975 0.4525 0.265 1.0 0.0634428877022476 0.1 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.1 0.4525 10.0 0.47 1.0 0.911111111111111 1.0 0.47 0.95 0.975 0.4525 0.265 1.0 0.0634428877022476 0.1 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.1 0.4525 10.0 0.47 1.0 0.911111111111111 1.0 0.47 0.95 0.975 0.4525 0.265 1.0 0.0634428877022476 0.1 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.1 0.4525 10.0 0.47 1.0 0.911111111111111 1.0 0.47 0.95 0.975 0.4525 0.265 1.0 0.0634428877022476 0.1 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.911111111111111 1.0 0.92 1.0 0.975 0.9125 0.265 1.0 0.0634428877022476 0.6 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.911111111111111 1.0 0.92 1.0 0.975 0.9125 0.265 1.0 0.0634428877022476 0.6 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.35 0.515 10.0 0.5625 1.0 0.911111111111111 1.0 0.5625 0.95 0.975 0.515 0.265 1.0 0.0634428877022476 0.35 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.35 0.4925 10.0 0.5425 1.0 0.911111111111111 1.0 0.5425 0.85 0.975 0.4925 0.265 1.0 0.0634428877022476 0.35 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.35 0.4925 10.0 0.5425 1.0 0.911111111111111 1.0 0.5425 0.85 0.975 0.4925 0.265 1.0 0.0634428877022476 0.35 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.35 0.4925 10.0 0.5425 1.0 0.911111111111111 1.0 0.5425 0.85 0.975 0.4925 0.265 1.0 0.0634428877022476 0.35 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.35 0.4925 10.0 0.545 1.0 0.911111111111111 1.0 0.545 0.9 0.975 0.4925 0.265 1.0 0.0634428877022476 0.35 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.35 0.515 10.0 0.5625 1.0 0.911111111111111 1.0 0.5625 0.95 0.975 0.515 0.265 1.0 0.0634428877022476 0.35 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.35 0.5125 10.0 0.56 1.0 0.911111111111111 1.0 0.56 0.9 0.975 0.5125 0.265 1.0 0.0634428877022476 0.35 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.35 0.515 10.0 0.5625 1.0 0.911111111111111 1.0 0.5625 0.95 0.975 0.515 0.265 1.0 0.0634428877022476 0.35 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.35 0.515 10.0 0.5625 1.0 0.911111111111111 1.0 0.5625 0.95 0.975 0.515 0.265 1.0 0.0634428877022476 0.35 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.35 0.515 10.0 0.5625 1.0 0.911111111111111 1.0 0.5625 0.95 0.975 0.515 0.265 1.0 0.0634428877022476 0.35 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.25 0.4275 10.0 0.545 1.0 0.911111111111111 1.0 0.53 0.95 0.975 0.415 0.265 1.0 0.0634428877022476 0.15 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.911111111111111 1.0 0.92 1.0 0.975 0.9125 0.265 1.0 0.0634428877022476 0.6 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.911111111111111 1.0 0.92 1.0 0.975 0.9125 0.265 1.0 0.0634428877022476 0.6 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.911111111111111 1.0 0.92 1.0 0.975 0.9125 0.265 1.0 0.0634428877022476 0.6 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.911111111111111 1.0 0.92 1.0 0.975 0.9125 0.265 1.0 0.0634428877022476 0.6 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.25 0.4275 10.0 0.515 1.0 0.911111111111111 1.0 0.5 0.9 0.975 0.415 0.265 1.0 0.0634428877022476 0.15 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.25 0.4275 10.0 0.515 1.0 0.911111111111111 1.0 0.5 0.9 0.975 0.415 0.265 1.0 0.0634428877022476 0.15 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.05 0.3025 10.0 0.38 1.0 0.911111111111111 1.0 0.38 0.9 0.975 0.3025 0.265 1.0 0.0634428877022476 0.05 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.05 0.3025 10.0 0.38 1.0 0.911111111111111 1.0 0.38 0.9 0.975 0.3025 0.265 1.0 0.0634428877022476 0.05 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.7 0.7875 10.0 0.8175 1.0 0.911111111111111 1.0 0.7375 0.95 0.975 0.7 0.265 1.0 0.0634428877022476 0.3 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.7 0.7875 10.0 0.8175 1.0 0.911111111111111 1.0 0.7375 0.95 0.975 0.7 0.265 1.0 0.0634428877022476 0.3 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.25 0.4275 10.0 0.515 1.0 0.911111111111111 1.0 0.5 0.9 0.975 0.415 0.265 1.0 0.0634428877022476 0.15 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.25 0.4275 10.0 0.515 1.0 0.911111111111111 1.0 0.5 0.9 0.975 0.415 0.265 1.0 0.0634428877022476 0.15 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.25 0.4275 10.0 0.515 1.0 0.911111111111111 1.0 0.5 0.9 0.975 0.415 0.265 1.0 0.0634428877022476 0.15 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.25 0.4275 10.0 0.515 1.0 0.911111111111111 1.0 0.5 0.9 0.975 0.415 0.265 1.0 0.0634428877022476 0.15 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.7 0.7875 10.0 0.8175 1.0 0.911111111111111 1.0 0.7375 0.95 0.975 0.7 0.265 1.0 0.0634428877022476 0.3 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.05 0.28 10.0 0.43 1.0 0.911111111111111 1.0 0.43 0.9 0.975 0.28 0.265 1.0 0.0634428877022476 0.05 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.05 0.2775 10.0 0.4275 1.0 0.911111111111111 1.0 0.4275 0.85 0.975 0.2775 0.265 1.0 0.0634428877022476 0.05 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.05 0.2775 10.0 0.4275 1.0 0.911111111111111 1.0 0.4275 0.85 0.975 0.2775 0.265 1.0 0.0634428877022476 0.05 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.05 0.2775 10.0 0.3375 1.0 0.911111111111111 1.0 0.3375 0.75 0.975 0.2775 0.265 1.0 0.0634428877022476 0.05 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.05 0.2775 10.0 0.335 1.0 0.911111111111111 1.0 0.335 0.7 0.975 0.2775 0.265 1.0 0.0634428877022476 0.05 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.1925 1.0 0.911111111111111 1.0 0.1925 0.7 0.975 0.0 0.265 1.0 0.0634428877022476 0.0 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.1925 1.0 0.911111111111111 1.0 0.1925 0.7 0.975 0.0 0.265 1.0 0.0634428877022476 0.0 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.1275 1.0 0.911111111111111 1.0 0.1275 0.7 0.975 0.0 0.265 1.0 0.0634428877022476 0.0 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.1275 1.0 0.911111111111111 1.0 0.1275 0.7 0.975 0.0 0.265 1.0 0.0634428877022476 0.0 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.1275 1.0 0.911111111111111 1.0 0.1275 0.7 0.975 0.0 0.265 1.0 0.0634428877022476 0.0 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.1225 1.0 0.911111111111111 1.0 0.1225 0.7 0.975 0.0 0.265 1.0 0.0634428877022476 0.0 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.13 1.0 0.911111111111111 1.0 0.13 0.7 0.975 0.0 0.265 1.0 0.0634428877022476 0.0 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.1275 1.0 0.911111111111111 1.0 0.1275 0.65 0.975 0.0 0.265 1.0 0.0634428877022476 0.0 20.0 10.0
400.0 0.07535922203472521 0.75 0.75 20.0 1.0 0.025 390.0 0.0 0.0 10.0 0.1425 1.0 0.911111111111111 1.0 0.1425 0.7 0.975 0.0 0.265 1.0 0.0634428877022476 0.0 20.0 10.0
