N dis_x_std b condition H p damaged_fraction undamaged_N outputs_fraction_hlt flux_fraction_hlt n active_fraction_hlt q dis_x_avg inputs active_fraction_dis inputs_fraction undamaged_fraction flux_fraction_dis dis_y_avg order dis_y_std outputs_fraction_dis L damaged_nodes
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540674 0.65 20.0 10.0
400.0 0.059835164523716705 0.25 1.0 20.0 1.0 0.025 390.0 1.0 1.0 10.0 1.0 1.0 0.48888888888888893 1.0 0.8425 1.0 0.975 0.795 0.41 1.0 0.04358898943540673 0.65 20.0 10.0
